"","PassengerId","HomePlanet","CryoSleep","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Transported","PassengerGroup","PassengerNumInGroup","CabinPlatform","CabinNumber","CabinSide","amountSpent"
"1","0001_01","Europa",FALSE,"TRAPPIST-1e",39,FALSE,0,0,0,0,0,FALSE,"0001","01","B",0,"P",0
"2","0002_01","Earth",FALSE,"TRAPPIST-1e",24,FALSE,109,9,25,549,44,TRUE,"0002","01","F",0,"S",736
"3","0003_01","Europa",FALSE,"TRAPPIST-1e",58,TRUE,43,3576,0,6715,49,FALSE,"0003","01","A",0,"S",10383
"4","0003_02","Europa",FALSE,"TRAPPIST-1e",33,FALSE,0,1283,371,3329,193,FALSE,"0003","02","A",0,"S",5176
"5","0004_01","Earth",FALSE,"TRAPPIST-1e",16,FALSE,303,70,151,565,2,TRUE,"0004","01","F",1,"S",1091
"6","0005_01","Earth",FALSE,"PSO J318.5-22",44,FALSE,0,483,0,291,0,TRUE,"0005","01","F",0,"P",774
"7","0006_01","Earth",FALSE,"TRAPPIST-1e",26,FALSE,42,1539,3,0,0,TRUE,"0006","01","F",2,"S",1584
"8","0006_02","Earth",TRUE,"TRAPPIST-1e",28,FALSE,0,0,0,0,285.502841284525,TRUE,"0006","02","G",0,"S",285.502841284525
"9","0007_01","Earth",FALSE,"TRAPPIST-1e",35,FALSE,0,785,17,216,0,TRUE,"0007","01","F",3,"S",1018
"10","0008_01","Europa",TRUE,"55 Cancri e",14,FALSE,0,0,0,0,0,TRUE,"0008","01","B",1,"P",0
"11","0008_02","Europa",TRUE,"TRAPPIST-1e",34,FALSE,0,0,177.691390728477,0,0,TRUE,"0008","02","B",1,"P",177.691390728477
"12","0008_03","Europa",FALSE,"55 Cancri e",45,FALSE,39,7295,589,110,124,TRUE,"0008","03","B",1,"P",8157
"13","0009_01","Mars",FALSE,"TRAPPIST-1e",32,FALSE,73,0,1123,0,113,TRUE,"0009","01","F",1,"P",1309
"14","0010_01","Earth",FALSE,"TRAPPIST-1e",48,FALSE,719,1,65,0,24,FALSE,"0010","01","G",1,"S",809
"15","0011_01","Earth",FALSE,"TRAPPIST-1e",28,FALSE,8,974,12,2,7,TRUE,"0011","01","F",2,"P",1003
"17","0014_01","Mars",FALSE,"55 Cancri e",27,FALSE,1286,122,177.691390728477,0,0,FALSE,"0014","01","F",3,"P",1585.69139072848
"18","0015_01","Earth",FALSE,"55 Cancri e",24,FALSE,0,1,0,0,637,FALSE,"0015","01","F",4,"P",638
"19","0016_01","Mars",TRUE,"TRAPPIST-1e",45,FALSE,0,0,0,0,0,TRUE,"0016","01","F",5,"P",0
"20","0017_01","Earth",FALSE,"TRAPPIST-1e",0,FALSE,0,0,0,0,0,TRUE,"0017","01","G",0,"P",0
"21","0017_02","Earth",FALSE,"55 Cancri e",14,FALSE,412,0,1,0,679,FALSE,"0017","02","F",6,"P",1092
"22","0020_01","Earth",TRUE,"TRAPPIST-1e",1,FALSE,0,0,0,0,0,FALSE,"0020","01","E",0,"S",0
"23","0020_02","Earth",TRUE,"55 Cancri e",49,FALSE,0,0,0,0,0,FALSE,"0020","02","E",0,"S",0
"24","0020_03","Earth",TRUE,"55 Cancri e",29,FALSE,0,0,177.691390728477,0,0,FALSE,"0020","03","E",0,"S",177.691390728477
"25","0020_04","Earth",FALSE,"TRAPPIST-1e",10,FALSE,0,0,0,0,0,TRUE,"0020","04","E",0,"S",0
"26","0020_05","Earth",TRUE,"PSO J318.5-22",1,FALSE,219.598890210067,0,0,0,0,FALSE,"0020","05","E",0,"S",219.598890210067
"27","0020_06","Earth",FALSE,"TRAPPIST-1e",7,FALSE,0,0,0,0,0,FALSE,"0020","06","E",0,"S",0
"28","0022_01","Mars",FALSE,"TRAPPIST-1e",21,FALSE,980,2,69,0,0,FALSE,"0022","01","D",0,"P",1051
"29","0024_01","Europa",TRUE,"TRAPPIST-1e",62,FALSE,0,0,177.691390728477,0,0,TRUE,"0024","01","C",2,"S",177.691390728477
"30","0025_01","Earth",FALSE,"TRAPPIST-1e",15,FALSE,0,225,0,998,0,FALSE,"0025","01","F",6,"S",1223
"31","0026_01","Europa",FALSE,"55 Cancri e",34,FALSE,22,6073,0,1438,328,FALSE,"0026","01","C",0,"P",7861
"32","0028_01","Mars",FALSE,"TRAPPIST-1e",43,FALSE,1125,0,136,48,0,FALSE,"0028","01","F",8,"P",1309
"33","0030_01","Earth",FALSE,"TRAPPIST-1e",32,FALSE,0,850,81,437,453,FALSE,"0030","01","G",4,"S",1821
"34","0031_01","Mars",FALSE,"TRAPPIST-1e",47,FALSE,214,0,1411,0,1229,TRUE,"0031","01","F",9,"P",2854
"35","0031_02","Mars",FALSE,"TRAPPIST-1e",2,FALSE,0,0,0,0,0,TRUE,"0031","02","F",9,"P",0
"36","0031_03","Mars",FALSE,"TRAPPIST-1e",20,FALSE,219.598890210067,0,1750,990,0,TRUE,"0031","03","F",9,"P",2959.59889021007
"37","0034_01","Europa",TRUE,"55 Cancri e",28,FALSE,0,0,0,0,0,TRUE,"0034","01","D",1,"S",0
"38","0035_01","Mars",FALSE,"55 Cancri e",23,FALSE,784,964,0,951,0,FALSE,"0035","01","D",1,"P",2699
"40","0038_01","Earth",FALSE,"55 Cancri e",20,FALSE,554,195,0,2606,0,FALSE,"0038","01","F",10,"S",3355
"41","0039_01","Earth",TRUE,"55 Cancri e",30,FALSE,0,0,177.691390728477,0,0,FALSE,"0039","01","G",1,"P",177.691390728477
"42","0041_01","Earth",TRUE,"TRAPPIST-1e",17,FALSE,0,0,0,0,0,TRUE,"0041","01","G",2,"P",0
"43","0043_01","Europa",FALSE,"TRAPPIST-1e",45,FALSE,0,164,45,2511,855,FALSE,"0043","01","B",3,"P",3575
"44","0044_01","Earth",TRUE,"TRAPPIST-1e",55,FALSE,0,0,0,0,0,FALSE,"0044","01","G",3,"P",0
"45","0044_02","Earth",TRUE,"55 Cancri e",4,FALSE,0,0,0,0,0,TRUE,"0044","02","G",3,"P",0
"46","0044_03","Earth",TRUE,"PSO J318.5-22",21,FALSE,0,0,0,0,0,TRUE,"0044","03","G",3,"P",0
"47","0045_01","Mars",FALSE,"TRAPPIST-1e",21,FALSE,970,0,180,0,64,FALSE,"0045","01","F",10,"P",1214
"48","0045_02","Mars",TRUE,"Unknown",19,FALSE,0,0,0,0,0,TRUE,"0045","02","F",10,"P",0
"49","0050_01","Earth",FALSE,"55 Cancri e",35,FALSE,790,0,0,296.987837123215,0,FALSE,"0050","01","E",1,"S",1086.98783712322
"50","0051_01","Earth",FALSE,"TRAPPIST-1e",56,FALSE,0,112,0,1379,127,FALSE,"0051","01","E",2,"S",1618
"52","0053_01","Earth",FALSE,"TRAPPIST-1e",25,FALSE,0,0,1938,0,1,TRUE,"0053","01","F",11,"S",1939
"53","0056_01","Europa",FALSE,"TRAPPIST-1e",2,FALSE,0,0,0,0,0,TRUE,"0056","01","A",1,"S",0
"54","0056_02","Europa",TRUE,"TRAPPIST-1e",38,FALSE,0,0,0,0,0,TRUE,"0056","02","A",1,"S",0
"55","0056_03","Europa",FALSE,"TRAPPIST-1e",27,FALSE,279,605,3374,286,3,TRUE,"0056","03","A",1,"S",4547
"56","0058_01","Earth",TRUE,"PSO J318.5-22",36,FALSE,0,0,0,0,0,FALSE,"0058","01","G",7,"S",0
"57","0061_01","Earth",FALSE,"TRAPPIST-1e",22,FALSE,45,1096,148,1377,1,FALSE,"0061","01","F",12,"S",2667
"58","0062_01","Earth",FALSE,"TRAPPIST-1e",62,FALSE,0,592,0,17,25,FALSE,"0062","01","F",13,"S",634
"59","0064_01","Mars",TRUE,"TRAPPIST-1e",15,FALSE,0,0,0,0,0,TRUE,"0064","01","F",14,"S",0
"60","0064_02","Unknown",TRUE,"TRAPPIST-1e",33,FALSE,0,0,177.691390728477,0,0,TRUE,"0064","02","E",3,"S",177.691390728477
"61","0066_01","Earth",FALSE,"TRAPPIST-1e",62,FALSE,1,153,197,0,460,FALSE,"0066","01","G",6,"P",811
"62","0067_01","Earth",TRUE,"PSO J318.5-22",0,FALSE,0,0,0,0,0,TRUE,"0067","01","G",10,"S",0
"63","0067_02","Earth",FALSE,"TRAPPIST-1e",18,FALSE,1,258,446,0,0,TRUE,"0067","02","G",10,"S",705
"64","0067_03","Earth",FALSE,"55 Cancri e",21,FALSE,1946,37,0,0,24,FALSE,"0067","03","F",15,"S",2007
"66","0069_01","Earth",FALSE,"TRAPPIST-1e",42,FALSE,887,0,9,6,0,TRUE,"0069","01","F",16,"S",902
"67","0070_01","Earth",FALSE,"TRAPPIST-1e",19,FALSE,190,0,5,1,726,FALSE,"0070","01","F",13,"P",922
"68","0071_01","Earth",FALSE,"TRAPPIST-1e",17,FALSE,16,2165,0,0,52,FALSE,"0071","01","F",14,"P",2233
"69","0072_01","Earth",FALSE,"TRAPPIST-1e",14,FALSE,0,1,0,0,1063,FALSE,"0072","01","F",17,"S",1064
"70","0073_01","Mars",FALSE,"PSO J318.5-22",37,FALSE,46,83,738,0,12,FALSE,"0073","01","D",3,"P",879
"71","0074_01","Europa",FALSE,"TRAPPIST-1e",42,FALSE,1,8397,0,0,506,TRUE,"0074","01","C",3,"S",8904
"72","0076_01","Mars",FALSE,"TRAPPIST-1e",27,FALSE,147,0,1018,0,0,TRUE,"0076","01","F",18,"S",1165
"73","0077_01","Mars",FALSE,"TRAPPIST-1e",28,FALSE,14,0,1295,0,0,TRUE,"0077","01","F",15,"P",1309
"74","0078_01","Europa",FALSE,"TRAPPIST-1e",38,FALSE,0,5840,0,321,9654,FALSE,"0078","01","C",4,"S",15815
